,bird_en,bird_ru,desc_en,desc_ru,place_ru,place_en,size_ru,size_en
0,BANDED BROADBILL,Яванский рогоклюв,"The banded broadbill (Eurylaimus javanicus) is a species of bird in the typical broadbill family Eurylaimidae found in Mainland Southeast Asia and the Greater Sunda Islands. It is sometimes split into two species, one including only the nominate subspecies, E. j. javanicus, and one including all the remaining subspecies. It inhabits a variety of forests, along with forest edge, rubber plantations and Falcataria falcata groves, mainly in lowland areas. A striking, large-bodied bird with a length of 21.5–23.0 cm (8.5–9.1 in), it is unlikely to be mistaken for another species. The broadbill is mostly purplish-red, with yellow-streaked black wings, a bright blue beak, a blackish face and greyish chin and upper breast. Females can be told apart from males by their lack of a black neckband, although these are indistinct in Bornean and Javan males. Despite its conspicuous appearance, the bird is usually hard to see due to its sluggishness and is usually only noticed when it vocalises.

The species mainly eats arthropods such as orthopterans (grasshoppers, katydids and crickets), true bugs and beetles, but has also been recorded feeding on snails, lizards, frogs and figs. On the mainland, breeding generally occurs during the dry season; populations in the Greater Sundas have a longer breeding season lasting from March to November. On Java, the broadbill is thought to breed year-round. Their large, raggedy nests are hung from trees at a height of 6–21 m (20–69 ft) over clearings or water bodies. Clutches have two or three eggs. The eggs are usually dull white with dark purple or reddish-brown flecks, but those from West Java are dirty white with dense rusty-brown to lavender-grey markings. The International Union for Conservation of Nature, which splits the banded broadbill into two species, classifies javanicus as being near-threatened and the other subspecies as being of least concern.","Яванский рогоклюв (лат. Eurylaimus javanicus) — вид птиц семейства рогоклювых.

Вид распространён в Юго-Восточной Азии. Встречается на юге Мьянмы, в Таиланде, Камбодже, Вьетнаме и Лаосе, на Малайском полуострове, Суматре, Яве и Калимантане. Птица обитает в тропических дождевых лесах. Встречается также в садах и парках.

Птица достигает длины 21,5—23 см. Тело крепкое, голова округлая и большая с большими глазами, с плоским и широком клювом, едва изогнутым на конце. Голова, спина, грудь, брюхо, боковые стороны коричневого цвета. Задняя часть брюха бледно-оранжевой окраски. Грудь фиолетового оттенка. Горло и грудь разделяет чёрная полоса. Крылья и хвост чёрные с отдельными жёлтыми перьями. Клюв голубой с чёрными краями.

Живёт под густым пологом дождевых лесов. Держится поодиночке или парами. Питается насекомыми и другими беспозвоночными, реже мелкими позвоночными, ягодами и фруктами. Гнездо грушевидной формы подвешивает на ветке дерева. В кладке 3—4 яйца. Инкубация длится 2,5 недели. Ещё через три недели птенцы становятся самостоятельными.","Вид распространён в Юго-Восточной Азии. Встречается на юге Мьянмы, в Таиланде, Камбодже, Вьетнаме и Лаосе, на Малайском полуострове, Суматре, Яве и Калимантане. Птица обитает в тропических дождевых лесах. Встречается также в садах и парках.
",Mainland Southeast Asia and the Greater Sunda Islands.,"Птица достигает длины 21,5—23 см. Тело крепкое, голова округлая и большая с большими глазами, с плоским и широком клювом, едва изогнутым на конце. Голова, спина, грудь, брюхо, боковые стороны коричневого цвета. Задняя часть брюха бледно-оранжевой окраски. Грудь фиолетового оттенка. Горло и грудь разделяет чёрная полоса. Крылья и хвост чёрные с отдельными жёлтыми перьями. Клюв голубой с чёрными краями.
","A striking, large-bodied bird with a length of 21.5–23.0 cm (8.5–9.1 in), it is unlikely to be mistaken for another species. The broadbill is mostly purplish-red, with yellow-streaked black wings, a bright blue beak, a blackish face and greyish chin and upper breast. Females can be told apart from males by their lack of a black neckband, although these are indistinct in Bornean and Javan males. Despite its conspicuous appearance, the bird is usually hard to see due to its sluggishness and is usually only noticed when it vocalises."
1,AUSTRAL CANASTERO,Южный канастеро,"The austral canastero (Asthenes anthoides) is a species of bird in the family Furnariidae, the ovenbirds. It is found in southern Argentina and Chile, including Tierra del Fuego. It is at least partially migratory, and its range extends north during the austral winter.

Its natural habitats are temperate shrublands and grasslands in non-arid portions of Patagonia.

It forages on the ground for insects and perches on shrubs for singing or when disturbed.","Австралийский канастеро ( Asthenes anthoides ) -- вид птиц семейства Furnariidae , печников . Встречается на юге Аргентины и Чили , включая Огненную Землю . Он, по крайней мере, частично мигрирует, и его ареал простирается на север в течение южной зимы .

Его естественной средой обитания являются умеренные кустарники и луга в незасушливых частях Патагонии .

Он ищет насекомых на земле и садится на кусты, чтобы петь или когда его беспокоят.",,,,
2,ARARIPE MANAKIN,Шлемоносный манакин-арарипе,"The Araripe manakin (Antilophia bokermanni) is a species of critically endangered bird from the family of manakins (Pipridae). It was discovered in 1996 and scientifically described in 1998. The species epithet commemorates Brazilian zoologist and wildlife filmmaker Werner Bokermann, who died in 1995. Because of its helmet-like crown it has received the Portuguese name soldadinho-do-araripe which means ""little soldier of Araripe"". This name also associates it with the related, but more widespread, helmeted manakin (Antilophia galeata), which is known simply as the soldadinho.As typical of most manakins, males and females have a strong sexual dimorphism in the colours of the plumage. As in the helmeted manakin, it is a relatively large and long-tailed manakin, with a total length of c. 14.5 centimetres (5.7 in). The strikingly patterned males have predominantly white plumage. With the exception of the white little wings coverts, the wings are black as the tail. From the frontal tuft, over the crown, down to the middle back runs a carmine red patch. The iris is red. The females are mainly olive green and have pale green upperparts. They have a reduced olive green frontal tuft.","Шлемоносный манакин-арарипе (лат. Antilophia bokermanni) — птица семейства манакиновых, находящаяся на грани исчезновения. Она была открыта в 1996 году и получила научное описание в 1998 году. Видовое название вид получил в честь бразильского зоолога и кинорежиссёра дикой природы Вернера Бокерманна, который умер в 1995 году. За свою макушку в виде шлема птица получила португальское прозвище soldadinho-do-araripe, которое означает «маленький солдат Арарипы». Это прозвище также связано с его более распространённым родственником шлемоносным манакином, известным просто как soldadinho.Как и у большинства типичных манакинов, у самцов и самок сильно развит половой диморфизм в окраске оперения. Как и у шлемоносного манакина, у данного вида довольно большой и длинный хвост при общей длине 14,5 см. Поразительно узорчатые самцы имеют почти полностью белое оперение. За исключением белого оперения, крылья чёрные, как и хвост. От хохолка, по макушке, вплоть до середины спины проходит карминовое красное пятно. Радужная оболочка — красная. Самки, в основном, оливковые и имеют бледно-зелёную верхнюю часть тела. Они имеют уменьшенный оливковый хохолок.",,,,
3,BAIKAL TEAL,Чирок-клоктун,"The Baikal teal (Sibirionetta formosa), also called the bimaculate duck or squawk duck, is a dabbling duck that breeds in eastern Russia and winters in East Asia.At between 39 and 43 centimetres (15 and 17 in), this duck is slightly larger and longer-tailed than the common teal. The breeding male is unmistakable, with a striking green nape, yellow and black auriculars, neck, and throat. It has a dark crown, and its breast is light brown with dark spots. It has long dropping dark scapulars, and its grey sides are set off on the front and rear with white bars.

The Baikal teal has a height from 11.75 to 15.75 inches and a weighs an average of 1 pound.

The female looks similar to a female green-winged teal but with a longer tail, and a distinctive white spot at the base of the bill and a white throat that angles to the back of the eye. She also has a distinct light eyebrow bordered by a darker crown. The underwing is similar to the Green-winged Teal also, but has a darker leading edge. The green speculum has an indistinct cinnamon-buff inner border. Some ""females"" have ""bridle"" markings on their faces, but it has been suggested that at least some of these bridled ""females,"" if not all, are in fact juvenile males. The juvenile has a plumage similar to that of the female and can be distinguished from the Common Teal by the pale loral spot.

In non-breeding (eclipse) plumage, the drake looks more like the female, but plumage is a much richer reddish-brown (rufous) colour.","Чирок-клоктун, или клоктун (лат. Sibirionetta formosa), — вид птиц из семейства утиных, единственный в роде Sibirionetta.Селезень этого вида имеет тёмную голову с рисунком из комбинации чёрного, жёлтого и зелёного цветов. Чёрно-белые перья на лопатках серповидно загнуты. Самки же носят буро-коричневый наряд с темной каемкой по краям перьев. В воде сидит глубоко, летает невысоко, но очень быстро. Масса взрослой птицы 500—600 г, а длина тела 22 см.

Своё название эти утки получили за характерные звуки ""кло-кло-кло"".

Чирок-клоктун предпочитает мелкие озёра и густо заросшие водоёмы.

Гнёзда строит возле кустарников и деревьев. В кладке от 5 до 10 яиц.

Утки предпочитают зимовать на рисовых чеках, а на пролета выбирают соевые поля. Питаются семенами и вегетативными частями растений.",,,,
4,ALBERTS TOWHEE,Чернолицый тохи,"Large, plain, long-tailed sparrow. Drab grayish-brown overall, with dark mask like a Northern Cardinal. Also note pinkish bill and orange undertail coverts. Inhabits riparian corridors, especially in dense brush. Mainly occurs in the Sonoran Desert of Arizona, barely extending into surrounding states and northern Mexico. Rather secretive as it forages on the ground for seeds and insects. Visits feeders.","Большой, простой, длиннохвостый воробей. Весь тусклый серовато-коричневый, с темной маской, как у северного кардинала. Также обратите внимание на розоватый клюв и оранжевые кроющие подхвостья. Населяет прибрежные коридоры, особенно в густых зарослях. В основном встречается в пустыне Сонора в Аризоне, едва заходя на соседние штаты и северную Мексику. Довольно скрытен, так как добывает семена и насекомых на земле. Посещает кормушки.",,,,
5,BEARDED BELLBIRD,Чернокрылый звонарь,"The bearded bellbird (Procnias averano) also known as the campanero or anvil-bird, is a passerine bird which occurs in northern South America. The male is about 28 cm (11 in) long with white plumage apart from a brown head and black wings. At his throat hang several black, unfeathered wattles. The female is a little smaller with olive-green head and upper parts, yellow underparts streaked with green and a yellow vent area. The male has a loud, repeated metallic hammering call, as well as various other vocalisations.

There are two subspecies, the nominate subspecies is only found in northeastern Brazil, while the other subspecies occurs in Trinidad, Venezuela, Colombia, Guyana, eastern Bolivia and northern Brazil. This bird is found in moist tropical forests where it feeds mainly on fruit and berries which are picked on the wing. The nest is a rather flimsy mass of stems and slender twigs built far out on a branch of an isolated tree. A single buff-coloured egg is laid and incubated solely by the female.Like other cotingas, the bearded bellbird has a broad hooked-tipped bill, rounded wings, strong legs and a striking appearance. The male is approx 28 cm 11 in long, and weighs 180 g (6+1⁄2 oz). His plumage is white or greyish-white apart from the black wings and warm brown head. He sports a grotesque ""beard"" of un-feathered, black stringy wattles.

The female is smaller, at approx. 27 cm (10+1⁄2 in) and 130 g (4+1⁄2 oz). Her upperparts are olive-green (duskier on the head), most of the underparts are yellow streaked with green, and the vent is pure yellow. She lacks the facial wattles (""beard""). Both sexes have dark eyes, a black bill and grey to black legs.

The males' advertising calls are a very loud dull Bock repeated every few seconds and a somewhat less loud, metallic hammering tonk-tonk-tonk-tonk. It sounds like a hammer rapidly hitting an anvil and is repeated 20–30 times. Additionally, a number of regional calls are known, e.g. an unmusical, almost hissing, bisset in southern Venezuela and a disyllabic teek-terong in northern Venezuela. Apparently, the last mentioned call is no longer heard in Trinidad. The female is essentially silent.","Чернокрылый звонарь, или бородатый звонарь, или бородатая котинга-звонарь (лат. Procnias averano) — воробьиная птица семейства котинговые, встречающаяся в северных тропических лесах Южной Америки. Существует два подвида: номинативный — Procnias averano averano на северо-востоке Бразилии и Procnias averano carnobarba в Венесуэле, Тринидаде, крайнем северо-востоке Колумбии, Западной Гайане и далёком севере Бразилии.Чернокрылый звонарь встречается во влажных лесах. Эти птицы, в основном, ведут оседлый образ жизни, однако некоторые популяции принимают участие в высотных миграциях, размножаясь на высоте до 1900 м и проводя на низменностях вне сезона размножения. Чернокрылый звонарь — местная и необычная птица в Венесуэле, однако является довольно распространенной в Тринидаде. Номинальное бразильское потомство сравнительно редко из-за обширного разрушения среды обитания его ареала и попадания в тяжёлые ловушки для торговли в клетках, таким образом, являясь уязвимой согласно данным бразильских органов по охране окружающей среды.

Как и другие котинговые, чернокрылый звонарь имеет широкий крючкообразный клюв, округлые крылья, сильные ноги и яркий вид. Самец около 28 см в длину и весит 180 г. Оперение самца белое или серовато-белое помимо чёрных крыльев и светло-коричневой головы. Он носит чёрную «бороду» из беспёрых тягучих серёжек.

Самка имеет длину 27 см и весит 130 г. Верхняя часть её тела оливково-зелёного цвета (темноватая на голове), большая нижняя часть — жёлтая с зелёными прожилками, а задняя часть — ярко жёлтого цвета. «Борода» отсутствует. И у самки, и у самца тёмные глаза, чёрный клюв и серые ноги, переходящие в чёрные.

Эти древесные звонари питаются исключительно фруктами и ягодами, извлекаемыми в основном крылом. Наиболее предпочтительными являются лавровые и бурзеровые растения, которыми питаются молодые особи посредством отрыгивания содержимого самкой.

Вокализация птицы представляет собой очень громкое тупое бок, повторяющееся каждые несколько секунд, и менее громкое, металлическое цоканье тонк — тонк — тонк — тонк. Голос звучит, как молоток, который быстро ударяется о наковальню, повторяясь 20-30 раз . Кроме того, известен ряд местных голосов птицы, например, немузыкальное, почти шёпотом биссет на юге и двусложное ти-теронг на севере Венесуэлы. Вероятно, что последнего упомянутого голоса больше не слышно в Тринидаде. Самка, в основном, тихая.",,,,
6,BLACK AND YELLOW BROADBILL,Чёрно-жёлтый рогоклюв,"The black-and-yellow broadbill (Eurylaimus ochromalus) is a species of bird in the typical broadbill family Eurylaimidae. A small, distinctive species, it has a black head, breastband, and upperparts, a white neckband, yellow streaking on the back and wings, and wine-pink underparts that turn yellow towards the belly. The beak is bright blue, with a green tip to the upper mandible and black edges. It shows some sexual dimorphism, with the black breastband being incomplete in females.

Native to Brunei, Indonesia, Malaysia, Myanmar, Singapore, and Thailand, it inhabits evergreen forest, dipterocarp forest, swamp forest, heath forest, and forest edge, along with secondary forest and plantations that contain large trees. Mainly inhabiting lowlands, the species is found up to elevations of 1,220 m (4,000 ft). The black-and-yellow broadbill is mainly insectivorous, but also feeds on molluscs and incidentally takes fruit.

The black-and-yellow broadbill breeds during the dry season throughout its range, with both sexes helping build a large, untidy, pear-shaped nest out of moss, fungal mycelia, and leaves. Eggs are laid in clutches of 2–3, sometimes containing a fourth runt egg, and are incubated by both sexes. The species is listed as near-threatened by the IUCN due to a decline in its population caused by habitat loss.The black-and-yellow broadbill is a small, distinctive species of typical broadbill that is 13.5–15 cm (5.3–5.9 in) long and weighs 31–39 g (1.1–1.4 oz). Males have black heads and upperparts with a white collar and black breastband, along with prominent yellow markings on the back and wings. The underparts are wine-pink, fading to yellow towards the belly and undertail coverts (tail feathers that cover the underside of the base of the tail). The tail is black, with yellow spots on the middle feathers and whiter ones on the outer feathers. The iris is pale yellow, while the bill is bright blue, with a green tip to the upper mandible and black edges. The base of the bill lacks bristles, which are present in some other species of broadbills. The legs are reddish, with long tarsometatarsi. The species shows some sexual dimorphism, with females having a gap in the centre of the black breastband. Juveniles lack a well-defined breastband and have a pale yellow supercilium (a stripe running from the beak to above the eye) with grayish-white underparts.

Reddish colours in the plumage of the black-and-yellow broadbill are caused by the biological pigment 2,3-didehydro-papilioerythrinone, which is also present in the feathers of the banded broadbill, black-and-red broadbill, and Sarcophanops species. The yellow in the species' plumage is caused by the carotenoid 7,8-dihydro-3′-dehydro-lutein, which is also present in the plumage of the banded broadbill.

Like other typical broadbills, the black-and-yellow broadbill has a large, wide bill that is thought to have first evolved in the common ancestor of all broadbills as an adaptation to an insectivorous diet. Its large and fleshy tongue helps manipulate objects inside its beak, allowing it to mash food against the inside of the beak to ""chew"" it.","Чёрно-жёлтый рогоклюв (лат. Eurylaimus ochromalus) — вид птиц семейства рогоклювых.Длина тела от 13,5 до 15 см, масса 31—39 г. Голова чёрная, на шее белый воротник, на крыльях и спине жёлтое и чёрное оперение, брюхо светло-сиренево-розовое. Клюв сине-зелёный.",,,,
7,BLACK HEADED CAIQUE,Черноголовый белобрюхий попугай,"The black-headed parrot (Pionites melanocephalus ; sometimes incorrectly Pionites melanocephala) is a species of bird in subfamily Arinae of the family Psittacidae, the African and New World parrots. Other colloquial names are black-crowned parrot, black-capped parrot, black-headed caique, and for subspecies P. m. pallidus, pallid caique. It is found in Brazil, Colombia, Ecuador, French Guiana, Guyana, Peru, Suriname, and Venezuela.The black-headed parrot is 21 to 25 cm (8.3 to 9.8 in) long and weighs 130 to 170 g (4.6 to 6.0 oz). The sexes are the same. Adults of the nominate subspecies have a black cap from forehead to nape and a rufous-orange band across their hindneck. They are green from their lores to below their eye, and yellow on their lower face, sides of their neck, and their upper breast. Their back and wings are dull green with dark blue primaries and reddish blue axiillaries. Their lower breast and belly are creamy white and their flanks, thighs, and vent area are apricot yellow. Their tail's top surface is green with yellow feather tips and the lower surface is olive-yellow. Immature birds have pale yellow breasts and bellies. Subspecies P. m. pallidus is similar to the nominate but has a whiter breast and belly and a paler rufous-orange band on the hindneck.","Черноголовый белобрюхий попугай (лат. Pionites melanocephala) — птица семейства попугаевых.Длина тела 23-24 см, хвоста 6 см. Окраска очень красивая. Голова, от лба до затылка, окрашена в чёрный цвет. Уздечка и окологлазные кольца зелёные. «Лицевая» часть головы, горло оранжево-жёлтые. Верх шеи от границы спины до затылка и вниз до груди охвачен широким поясом оранжево-коричневого цвета, на котором бывают несколько синих перьев. Спина, крылья и верхняя сторона хвоста зелёные. Грудь, брюхо кремово-белые с лёгким желтоватым оттенком. Перья голени, вокруг бедра и с боков — оранжевые, как и внутренняя сторона хвоста. Клюв чёрно-серый. Радужка оранжевая. Лапы серые.",,,,
8,BLACK BAZA,Чёрная база,"The black baza (Aviceda leuphotes) is a small bird of prey found in the forests of Northeast India, the eastern Himalayas, China and Southeast Asia. Many populations are migratory, including those in the Indian region, which winter in the south of the Peninsula and Sri Lanka. Black bazas have short, stout legs and feet with strong talons, and a prominent crest. They are found in dense forest, often in small groups, and can often be found perched on bare branches of tall trees rising above the forest canopy.The black baza is a small and distinctively coloured raptor; it ranges from 30 to 35 cm in length, a 66 to 80 cm wingspan and a weight of 168 to 224 g. When perched, the upright crest and contrasting patterns make it difficult to misidentify. The male has white scapulars, secondary coverts and on the secondaries. The female has white only on the scapulars and more chestnut bands on the underside unlike the few bands in the male.

While flying, it is similar to a crow and is often seen in small groups or flocks during migration. During migration, they are gregarious at their roost. They are somewhat crepuscular and more active at dusk and in overcast weather.","Чёрная база (лат. Aviceda leuphotes) — вид хищных птиц семейства ястребиных (Accipitridae). Выделяют три подвида. Распространены в Азии.Чёрная база — небольшой хищник длиной от 28 до 35 см, размахом крыльев от 64 до 80 см, а массой от 168 до 224 г. Голова довольно маленькая с длинным гребнем, который удерживается вертикально или приподнимается и опускается у птиц на насесте, в полёте прижат к голове. Крылья длинные, хвост средней длины (13—15 см) и короткие ноги. Наклювье с двумя парами предвершинных зубцов резко изогнуто книзу у вершины, подклювье прямое.

Окраска оперения преимущественно чёрная. Перья на плечах, нижней части спины и большие кроющие перья имеют белую центральную часть и бордовые края. Средние кроющие перья с тёмно-бордовыми или жёлто-бордовыми пятнами. Горло чёрное; на верхней части груди большое белое пятно; остальная часть нижней части тела охристая или светло-рыжевато-охристая, испещренная широкими рыжевато-коричневыми поперечными полосами, иногда с белыми краями. Центральная часть брюха и перья на бёдрах белые. Нижняя сторона первостепенных маховых перьев белая с черноватыми кончиками, второстепенных маховых перьев — серая, нижних покровных перьев — чёрная, рулевых перьев — серая с серебристыми кончиками. Клюв тёмно-серый. Радужная оболочка от пурпурно-коричневого до красновато-коричневого цвета. Восковица тёмно-сине-серая. Лапы серовато- или голубовато-чёрные.",,,,
9,BEARDED REEDLING,Усатая синица,"The bearded reedling (Panurus biarmicus) is a small, sexually dimorphic reed-bed passerine bird. It is frequently known as the bearded tit, due to some similarities to the long-tailed tit, or the bearded parrotbill. It is the only species in the family Panuridae.This is a small orange-brown bird, 16.5 cm (6.5 in) in length, with a long tail and an undulating flight. The bill is yellow-orange. The male has a grey head and black moustaches (not a beard); the lower tail coverts are also black. The female is generally paler, with no black moustache. Flocks often betray their presence in a reedbed by their characteristic ""ping"" call.","Уса́тая сини́ца (лат. Panurus biarmicus) — вид воробьинообразных птиц, единственный в роде и семействе усатых синиц (Panurus и Panuridae соответственно). Согласно филогенетическим данным, полученным в ре",,,,
